time,open,high,low,close,tick_volume,spread,real_volume
2025-12-30 15:00:00,88753.49,89069.83,88085.91,88912.13,7597,1800,0
2025-12-30 16:00:00,88913.47,89313.4,88475.24,88652.98,5836,1800,0
2025-12-30 17:00:00,88657.16,88822.2,88039.21,88296.79,3438,1800,0
2025-12-30 18:00:00,88296.56,88423.52,88044.84,88220.87,2621,1800,0
2025-12-30 19:00:00,88217.28,88357.65,87869.98,88139.58,3030,1800,0
2025-12-30 20:00:00,88136.49,88142.76,87773.34,87850.39,2331,1800,0
2025-12-30 21:00:00,87854.91,88244.07,87789.07,88197.09,1838,1800,0
2025-12-30 22:00:00,88200.97,88387.32,88174.26,88322.93,1663,1800,0
2025-12-30 23:00:00,88321.69,88485.01,88253.63,88408.99,1872,1800,0
2025-12-31 00:00:00,88408.89,88408.89,88135.86,88154.49,1973,1800,0
2025-12-31 01:00:00,88153.58,88694.58,88063.28,88537.07,2600,1800,0
2025-12-31 02:00:00,88537.48,88651.98,88404.72,88570.76,2325,1800,0
2025-12-31 03:00:00,88570.74,88710.3,88260.24,88333.69,2165,1800,0
2025-12-31 04:00:00,88329.79,88442.5,88202.85,88211.13,1703,1800,0
2025-12-31 05:00:00,88217.75,88417.01,88217.75,88340.81,1540,1800,0
2025-12-31 06:00:00,88343.53,88453.84,88343.53,88391.43,1248,1800,0
2025-12-31 07:00:00,88393.68,88531.04,88311.99,88497.59,1570,1800,0
2025-12-31 08:00:00,88497.5,88620.54,88270.98,88318.12,1650,1800,0
2025-12-31 09:00:00,88317.78,88602.41,88317.78,88548.57,1670,1800,0
2025-12-31 10:00:00,88547.82,88778.39,88547.48,88726.54,1754,1800,0
2025-12-31 11:00:00,88731.7,88938.96,88686.44,88903.41,2273,1800,0
2025-12-31 12:00:00,88900.22,88935.6,88627.34,88660.95,2162,1800,0
2025-12-31 13:00:00,88659.65,88950.18,88625.28,88879.39,2116,1800,0
2025-12-31 14:00:00,88876.68,89123.52,88161.98,88380.17,5403,1800,0
2025-12-31 15:00:00,88376.56,88389.93,87661.87,87832.83,5234,1800,0
2025-12-31 16:00:00,87833.4,87934.39,87264.0,87546.08,5002,1800,0
2025-12-31 17:00:00,87544.86,87631.03,87362.58,87483.76,2940,1800,0
2025-12-31 18:00:00,87483.72,87853.23,87435.33,87567.19,2361,1800,0
2025-12-31 19:00:00,87567.17,87745.98,87372.02,87391.94,1958,1800,0
2025-12-31 20:00:00,87386.5,87548.99,87077.42,87492.88,2606,1800,0
2025-12-31 21:00:00,87496.43,87722.22,87496.43,87653.35,1583,1800,0
2025-12-31 22:00:00,87653.01,87747.85,87511.51,87594.24,1507,1800,0
2025-12-31 23:00:00,87594.15,87599.13,87470.23,87507.73,1204,1800,0
2026-01-01 00:00:00,87507.82,87701.65,87489.54,87652.17,1302,1800,0
2026-01-01 01:00:00,87649.17,87907.8,87646.91,87793.16,1657,1800,0
2026-01-01 02:00:00,87794.09,87942.9,87737.55,87761.1,1544,1800,0
2026-01-01 03:00:00,87761.2,87873.69,87672.23,87704.59,1075,1800,0
2026-01-01 04:00:00,87704.5,87711.39,87379.33,87425.03,1596,1800,0
2026-01-01 05:00:00,87424.95,87596.74,87422.77,87553.71,1057,1800,0
2026-01-01 06:00:00,87553.49,87553.49,87473.96,87504.61,815,1800,0
2026-01-01 07:00:00,87506.0,87527.65,87433.24,87484.42,1101,1800,0
2026-01-01 08:00:00,87477.65,87658.23,87456.75,87613.83,1317,1800,0
2026-01-01 09:00:00,87613.92,87809.85,87591.77,87737.94,1220,1800,0
2026-01-01 10:00:00,87736.34,87747.41,87650.15,87725.65,1033,1800,0
2026-01-01 11:00:00,87724.24,87885.86,87702.9,87873.81,1356,1800,0
2026-01-01 12:00:00,87875.69,87902.61,87783.42,87796.47,1327,1800,0
2026-01-01 13:00:00,87804.68,87890.7,87716.71,87782.58,1238,1800,0
2026-01-01 14:00:00,87783.73,87854.82,87689.18,87834.78,1517,1800,0
2026-01-01 15:00:00,87834.47,88009.19,87801.42,87914.24,1612,1800,0
2026-01-01 16:00:00,87914.34,87934.86,87756.53,87874.59,1456,1800,0
2026-01-01 17:00:00,87874.68,88397.42,87846.15,88200.5,2180,1800,0
2026-01-01 18:00:00,88204.74,88250.87,87982.3,88072.49,1717,1800,0
2026-01-01 19:00:00,88072.39,88309.01,87948.38,88276.3,1500,1800,0
2026-01-01 20:00:00,88275.19,88276.95,88108.68,88147.12,1332,1800,0
2026-01-01 21:00:00,88147.2,88319.51,88122.85,88277.56,1156,1800,0
2026-01-01 22:00:00,88277.4,88581.82,88274.57,88527.31,1738,1800,0
2026-01-01 23:00:00,88530.38,88800.65,88346.5,88733.79,2408,1800,0
2026-01-02 00:00:00,88733.95,88791.57,88473.11,88731.01,2366,1800,0
2026-01-02 01:00:00,88738.04,88771.99,88421.92,88533.33,1743,1800,0
2026-01-02 02:00:00,88539.05,88574.01,88254.03,88530.81,1878,1800,0
2026-01-02 03:00:00,88534.19,89029.36,88458.57,88839.69,3049,1800,0
2026-01-02 04:00:00,88841.3,88892.15,88511.31,88536.74,1750,1800,0
2026-01-02 05:00:00,88535.52,88691.46,88460.13,88654.74,1315,1800,0
2026-01-02 06:00:00,88657.72,88990.17,88612.38,88833.89,1793,1800,0
2026-01-02 07:00:00,88841.36,88971.68,88720.94,88762.18,1584,1800,0
2026-01-02 08:00:00,88764.02,89093.6,88702.09,89060.69,1898,1800,0
2026-01-02 09:00:00,89055.93,89391.45,88985.1,89359.46,3005,1800,0
2026-01-02 10:00:00,89363.66,89841.71,89323.15,89563.09,3413,1800,0
2026-01-02 11:00:00,89565.72,89583.98,89258.7,89411.08,2386,1800,0
2026-01-02 12:00:00,89408.62,89502.89,89286.13,89315.52,2166,1800,0
2026-01-02 13:00:00,89313.09,89615.45,89224.21,89283.31,1995,1800,0
2026-01-02 14:00:00,89280.22,90095.98,88391.2,89520.5,9667,1800,0
2026-01-02 15:00:00,89520.38,89824.0,88729.3,89352.7,9985,1800,0
2026-01-02 16:00:00,89346.91,90806.58,89131.03,90315.29,9922,1800,0
2026-01-02 17:00:00,90314.02,90942.72,90151.39,90338.97,6810,1800,0
2026-01-02 18:00:00,90338.56,90525.47,89505.96,89725.0,5036,1800,0
2026-01-02 19:00:00,89727.42,90113.71,89595.24,89855.2,4824,1800,0
2026-01-02 20:00:00,89854.34,90031.43,89567.29,89678.52,3843,1800,0
2026-01-02 21:00:00,89680.11,90142.26,89666.0,90017.59,2141,1800,0
2026-01-02 22:00:00,90017.1,90371.97,89972.88,90159.46,2376,1800,0
2026-01-02 23:00:00,90159.3,90166.99,89853.6,89954.51,1546,1800,0
2026-01-03 00:00:00,89947.22,90157.43,89923.32,90118.31,1814,1800,0
2026-01-03 01:00:00,90117.68,90255.99,90025.63,90226.71,1630,1800,0
2026-01-03 02:00:00,90228.61,90371.84,90083.05,90283.32,1577,1800,0
2026-01-03 03:00:00,90282.19,90342.69,90151.61,90282.32,1523,1800,0
2026-01-03 04:00:00,90283.57,90449.85,89995.38,90123.64,1680,1800,0
2026-01-03 05:00:00,90128.72,90165.37,89884.1,89995.34,1525,1800,0
2026-01-03 06:00:00,89995.17,90102.03,89810.95,89830.72,1471,1800,0
2026-01-03 07:00:00,89830.46,89915.37,89263.59,89532.0,3125,1800,0
2026-01-03 08:00:00,89533.57,89800.82,89388.09,89625.18,2557,1800,0
2026-01-03 09:00:00,89628.61,89949.41,89587.28,89755.77,2319,1800,0
2026-01-03 10:00:00,89762.48,89838.98,89665.88,89713.85,1716,1800,0
2026-01-03 11:00:00,89716.4,89740.83,89628.2,89697.57,1301,1800,0
2026-01-03 12:00:00,89697.79,90004.84,89602.27,89989.17,1723,1800,0
2026-01-03 13:00:00,89971.34,90006.3,89864.99,89945.3,1565,1800,0
2026-01-03 14:00:00,89946.97,90192.08,89903.58,90078.47,1992,1800,0
2026-01-03 15:00:00,90078.26,90078.26,89906.36,89921.74,1546,1800,0
2026-01-03 16:00:00,89929.94,90167.15,89862.26,90059.37,1932,1800,0
2026-01-03 17:00:00,90055.33,90082.31,89969.73,90046.55,1268,1800,0
2026-01-03 18:00:00,90049.19,90143.01,89970.98,90087.59,1216,1800,0
2026-01-03 19:00:00,90090.69,90101.91,89998.26,90078.42,1221,1800,0
2026-01-03 20:00:00,90078.31,90323.19,89960.35,90301.49,1536,1800,0
2026-01-03 21:00:00,90299.88,90692.48,90277.71,90505.68,2005,1800,0
2026-01-03 22:00:00,90503.74,90693.04,90433.24,90549.23,1796,1800,0
2026-01-03 23:00:00,90549.4,90653.18,90408.96,90582.25,1715,1800,0
2026-01-04 00:00:00,90581.29,91585.66,90581.29,91281.4,5547,1800,0
2026-01-04 01:00:00,91282.69,91439.47,90959.4,91176.12,2628,1800,0
2026-01-04 02:00:00,91176.56,91262.44,91036.58,91098.04,1793,1800,0
2026-01-04 03:00:00,91098.14,91316.85,91039.04,91195.42,2029,1800,0
2026-01-04 04:00:00,91189.61,91552.94,91140.36,91354.03,2013,1800,0
2026-01-04 05:00:00,91360.77,91448.39,91294.52,91432.53,1663,1800,0
2026-01-04 06:00:00,91432.62,91780.14,91179.78,91195.63,2999,1800,0
2026-01-04 07:00:00,91199.02,91505.0,91169.72,91471.66,2154,1800,0
2026-01-04 08:00:00,91471.76,91501.11,91104.29,91319.26,2518,1800,0
2026-01-04 09:00:00,91319.14,91439.47,91206.11,91407.02,2137,1800,0
2026-01-04 10:00:00,91403.73,91586.9,91368.2,91548.81,2162,1800,0
2026-01-04 11:00:00,91548.49,91551.15,91190.61,91266.91,2009,1800,0
2026-01-04 12:00:00,91266.56,91324.65,91031.48,91094.47,2211,1800,0
2026-01-04 13:00:00,91095.47,91240.16,90980.25,91224.09,2020,1800,0
2026-01-04 14:00:00,91224.18,91370.18,91098.2,91297.56,2189,1800,0
2026-01-04 15:00:00,91297.44,91348.45,91049.13,91283.22,2026,1800,0
2026-01-04 16:00:00,91282.5,91424.21,91200.18,91282.31,2075,1800,0
2026-01-04 17:00:00,91282.17,91412.81,91251.39,91299.52,1614,1800,0
2026-01-04 18:00:00,91305.54,91305.88,90933.7,91161.51,2008,1800,0
2026-01-04 19:00:00,91152.92,91183.28,90798.45,91109.04,2489,1800,0
2026-01-04 20:00:00,91109.14,91311.45,91079.87,91285.25,1562,1800,0
2026-01-04 21:00:00,91286.64,91394.76,91135.3,91241.51,1734,1800,0
2026-01-04 22:00:00,91240.43,91361.36,91095.03,91178.91,1694,1800,0
2026-01-04 23:00:00,91179.55,91564.91,91179.55,91488.33,3371,1800,0
2026-01-05 00:00:00,91484.85,92391.87,91464.97,92368.8,6662,1800,0
2026-01-05 01:00:00,92369.92,93371.16,92226.35,92934.28,6983,1800,0
2026-01-05 02:00:00,92939.57,93131.66,92687.64,92991.15,3295,1800,0
2026-01-05 03:00:00,92993.41,93169.32,92824.36,92837.5,2485,1800,0
2026-01-05 04:00:00,92829.13,92923.87,92285.7,92560.61,2973,1800,0
2026-01-05 05:00:00,92560.67,92687.36,92301.43,92324.1,2156,1800,0
2026-01-05 06:00:00,92322.84,92464.68,92087.9,92440.55,2176,1800,0
2026-01-05 07:00:00,92444.78,92601.9,92425.94,92479.47,1583,1800,0
2026-01-05 08:00:00,92481.94,92734.58,92396.67,92423.79,2110,1800,0
